126	high	brace-expansion	apps/web-platform/package-lock.json	5.0.7
127	high	brace-expansion	package-lock.json	1.1.16
142	high	fast-uri	apps/web-platform/package-lock.json	3.1.3
143	high	@opentelemetry/propagator-jaeger	apps/web-platform/package-lock.json	2.9.0
144	high	sharp	apps/web-platform/package-lock.json	0.35.0
145	high	fast-uri	apps/web-platform/package-lock.json	3.1.4
161	high	postcss	apps/web-platform/package-lock.json	8.5.12
162	high	postcss	apps/web-platform/package-lock.json	8.5.18
166	high	brace-expansion	apps/web-platform/package-lock.json	5.0.8
168	high	brace-expansion	apps/web-platform/package-lock.json	5.0.9
170	medium	postcss	apps/web-platform/package-lock.json	8.5.23
171	high	fast-uri	apps/web-platform/package-lock.json	3.1.5
172	high	undici	apps/web-platform/package-lock.json	7.29.0
173	medium	undici	apps/web-platform/package-lock.json	7.29.0
174	medium	undici	apps/web-platform/package-lock.json	7.29.0
175	medium	undici	apps/web-platform/package-lock.json	7.29.0
176	medium	undici	apps/web-platform/package-lock.json	7.29.0
177	high	fast-uri	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	3.1.5
178	medium	ip-address	apps/web-platform/package-lock.json	10.2.1
179	medium	ip-address	apps/web-platform/package-lock.json	10.2.2
180	high	ip-address	apps/web-platform/package-lock.json	10.3.1
181	medium	hono	apps/web-platform/package-lock.json	4.12.34
182	medium	ip-address	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	10.2.1
183	medium	ip-address	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	10.2.2
184	high	ip-address	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	10.3.1
185	medium	hono	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	4.12.34
186	medium	hono	apps/web-platform/package-lock.json	4.12.34
187	medium	hono	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	4.12.34
188	low	hono	apps/web-platform/package-lock.json	4.12.34
189	medium	hono	apps/web-platform/package-lock.json	4.12.34
190	low	hono	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	4.12.34
191	medium	hono	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	4.12.34
192	high	js-yaml	apps/web-platform/package-lock.json	4.3.1
193	high	js-yaml	apps/web-platform/package-lock.json	3.15.1
195	high	js-yaml	package-lock.json	4.3.1
196	high	js-yaml	package-lock.json	3.15.1
197	medium	@hono/node-server	apps/web-platform/package-lock.json	1.19.15
198	medium	@hono/node-server	plugins/soleur/skills/pencil-setup/scripts/package-lock.json	1.19.15
199	high	nanoid	apps/web-platform/package-lock.json	3.3.18
